treat subject t1 t2 t3 t4 t5 t6 t7
CONT	1	85	85	86	85	87	86	87
CONT	2	80	79	79	78	78	79	78
CONT	3	78	77	77	77	76	76	77
CONT	4	84	84	85	84	83	84	85
CONT	5	80	81	80	80	79	79	80
CONT	6	76	78	77	78	78	77	74
CONT	7	79	79	80	79	80	79	81
CONT	8	76	76	76	75	75	74	74
CONT	9	77	78	78	80	80	81	80
CONT	10	79	79	79	79	77	78	79
CONT	11	81	81	80	80	80	81	82
CONT	12	77	76	77	78	77	77	77
CONT	13	82	83	83	83	84	83	83
CONT	14	84	84	83	82	81	79	78
CONT	15	79	81	81	82	82	82	80
CONT	16	79	79	78	77	77	78	78
CONT	17	83	82	83	85	84	83	82
CONT	18	78	78	79	79	78	77	77
CONT	19	80	80	79	79	80	80	80
CONT	20	78	79	80	81	80	79	80
DUR	21	79	79	79	80	80	78	80
DUR	22	83	83	85	85	86	87	87
DUR	23	81	83	82	82	83	83	82
DUR	24	81	81	81	82	82	83	81
DUR	25	80	81	82	82	82	84	86
DUR	26	76	76	76	76	76	76	75
DUR	27	81	84	83	83	85	85	85
DUR	28	77	78	79	79	81	82	81
DUR	29	84	85	87	89	88	85	86
DUR	30	74	75	78	78	79	78	78
DUR	31	76	77	77	77	77	76	76
DUR	32	84	84	86	85	86	86	86
DUR	33	79	80	79	80	80	82	82
DUR	34	78	78	77	76	75	75	76
DUR	35	78	80	77	77	75	75	75
DUR	36	84	85	85	85	85	83	82
VEL	37	84	85	84	83	83	83	84
VEL	38	74	75	75	76	75	76	76
VEL	39	83	84	82	81	83	83	82
VEL	40	86	87	87	87	87	87	86
VEL	41	82	83	84	85	84	85	86
VEL	42	79	80	79	79	80	79	80
VEL	43	79	79	79	81	81	83	83
VEL	44	87	89	91	90	91	92	92
VEL	45	81	81	81	82	82	83	83
VEL	46	82	82	82	84	86	85	87
VEL	47	79	79	80	81	81	81	81
VEL	48	79	80	81	82	83	82	82
VEL	49	83	84	84	84	84	83	83
VEL	50	81	81	82	84	83	82	85
VEL	51	78	78	79	79	78	79	79
VEL	52	83	82	82	84	84	83	84
VEL	53	80	79	79	81	80	80	80
VEL	54	80	82	82	82	81	81	81
VEL	55	85	86	87	86	86	86	86
VEL	56	77	78	80	81	82	82	82
VEL	57	80	81	80	81	81	82	83
